Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C325532,RMC04022.21%N,TyoHM,0402,,2.2Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0034,0.34,https://www.lcsc.com/product-detail/C325532.html
2,C71911,16-213SDRC/S530-A3/TR8,EVERLIGHT,0402,,Red 650nm LED Indication - Discrete 2V 0402,yes,20,20,20,0.0330,0.66,https://www.lcsc.com/product-detail/C71911.html
3,C77336,MBR0530,JSCJ,SOD-123,,Diode 30V 500mA Surface Mount SOD-123,yes,20,20,20,0.0332,0.66,https://www.lcsc.com/product-detail/C77336.html
4,C7603347,SI1308EDL,TECH PUBLIC,SOT-323,,30V 1.4A 360mW Surface Mount SOT-323,yes,5,5,5,0.0840,0.42,https://www.lcsc.com/product-detail/C7603347.html
5,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,,1uF ±10% 25V Ceramic Capacitor X5R 0402,yes,100,100,100,0.0040,0.40,https://www.lcsc.com/product-detail/C52923.html
6,C511277,MCP1700-3302E/TO,MICROCHIP,TO-92-3,,"3.3V Positive Fixed TO-92-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,1,1,1,0.8030,0.80,https://www.lcsc.com/product-detail/C511277.html
7,C481407,NX3225GA-12MHZ-STD-CRG-2,NDK,SMD3225-4P,,Crystal 12MHz ±20ppm 8pF 100Ω SMD3225-4P,yes,5,5,5,0.2377,1.19,https://www.lcsc.com/product-detail/C481407.html
8,C47647,PH-2P,BOOMELE(Boom Precision Elec),"SMD,P=2mm,Surface Mount,Right Angle",,"Connector Header 2 position 2mm Pitch Surface Mount, Right Angle",yes,12,12,12,0.0614,0.74,https://www.lcsc.com/product-detail/C47647.html
9,C424093,MCP73831T-2ACI/OT,MICROCHIP,SOT-23-5,,3.75V~6V Lithium Battery 1 550mA SOT-23-5 Battery Chargers ICs RoHS,yes,1,1,1,0.7611,0.76,https://www.lcsc.com/product-detail/C424093.html
10,C4109,0402WGF2001TCE,UNI-ROYAL,0402,,2kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C4109.html
11,C410351,TF-015,Hanbo Electronic,SMD,,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,yes,5,5,5,0.1383,0.69,https://www.lcsc.com/product-detail/C410351.html
12,C388885,EVQPUD02K,PANASONIC,"SMD,4.7x4.5mm",,"Tactile Switch SPST 2.2N 1.65mm J-Lead 4.7mm x 4.5mm Surface Mount, Right Angle",yes,5,5,5,0.2299,1.15,https://www.lcsc.com/product-detail/C388885.html
13,C354600,CKCS5020-47uH/M,CENKER,"SMD,5x5mm",,"750mA 47uH ±20% 770mA 580mΩ Magnetic Shielded Inductor SMD,5x5mm Fixed Inductors RoHS",yes,10,10,10,0.0504,0.50,https://www.lcsc.com/product-detail/C354600.html
14,C347476,AO3401A,UMW,SOT-23,,P-Channel 30V 4.2A 1.4W Surface Mount SOT-23,yes,20,20,20,0.0321,0.64,https://www.lcsc.com/product-detail/C347476.html
15,C11702,0402WGF1001TCE,UNI-ROYAL,0402,,1kΩ ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C11702.html
16,C318954,TM-2011,XKB Connection,"SMD-5P,19.7x14.8mm",,"SMD-5P,19.7x14.8mm Navigation Switches, Joystick RoHS",yes,5,5,5,0.2672,1.34,https://www.lcsc.com/product-detail/C318954.html
