Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",191.600000,-103.400000,180.000000,top
"C2","4.7uF","C_0402_1005Metric",197.500000,-96.900000,0.000000,top
"C3","10uF","C_0603_1608Metric",216.700000,-69.825000,90.000000,top
"C4","1uF","C_0402_1005Metric",198.400000,-92.020000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",216.800000,-104.400000,90.000000,top
"C6","1uF","C_0402_1005Metric",215.200000,-91.780000,90.000000,top
"C7","1uF","C_0402_1005Metric",202.100000,-95.400000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",213.900000,-103.280000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",211.800000,-89.000000,90.000000,top
"C10","1uF","C_0402_1005Metric",216.200000,-91.800000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",207.220000,-95.000000,180.000000,top
"C12","0.1uF","C_0402_1005Metric",207.220000,-98.600000,180.000000,top
"C13","33pF","C_0402_1005Metric",208.900000,-107.450000,90.000000,top
"C14","33pF","C_0402_1005Metric",214.199999,-106.450000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",212.900000,-103.280000,-90.000000,top
"C16","0.1uF","C_0402_1005Metric",218.380000,-98.400000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",217.480000,-94.800000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",212.800000,-89.000000,90.000000,top
"C19","0.1uF","C_0402_1005Metric",216.300000,-93.300000,0.000000,top
"C20","4.7uF","C_0402_1005Metric",207.500000,-113.170000,90.000000,top
"C21","4.7uF","C_0402_1005Metric",217.120000,-114.270000,180.000000,top
"C22","1uF","C_0402_1005Metric",220.700000,-125.270000,0.000000,top
"C23","1uF","C_0402_1005Metric",213.400000,-123.170000,0.000000,top
"C24","1uF","C_0402_1005Metric",213.900000,-124.870000,90.000000,top
"C25","1uF","C_0402_1005Metric",214.900000,-124.870000,90.000000,top
"C26","1uF","C_0402_1005Metric",215.900000,-124.870000,90.000000,top
"C27","1uF","C_0402_1005Metric",216.900000,-124.870000,90.000000,top
"C28","1uF","C_0402_1005Metric",218.300000,-124.870000,90.000000,top
"C29","1uF","C_0402_1005Metric",208.500000,-124.970000,90.000000,top
"C30","1uF","C_0402_1005Metric",219.300000,-124.870000,90.000000,top
"CN1","Battery","CONN-SMD_2P-P2.00_PH2.0-SPWB",194.885034,-129.725000,0.000000,top
"D1","LED","C_0402_1005Metric",198.300000,-104.000000,90.000000,top
"D2","MBR0530","D_0402_1005Metric",200.000000,-91.400000,180.000000,top
"D3","MBR0530","D_0402_1005Metric",218.300000,-115.670000,0.000000,top
"D4","MBR0530","D_0402_1005Metric",218.315000,-112.970000,180.000000,top
"D5","MBR0530","D_0402_1005Metric",220.300000,-123.485000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",212.300000,-53.130000,180.000000,top
"L1","47uH","L_6.3x6.3_H3",211.800000,-114.270000,0.000000,top
"Q1","AO3401A","SOT-23",195.500000,-95.700000,0.000000,top
"Q2","Si1308EDL","SOT-323_SC-70",208.100000,-121.770000,0.000000,top
"R1","5.1K","R_0402_1005Metric",214.200000,-59.400000,90.000000,top
"R2","5.1K","R_0402_1005Metric",210.500000,-59.410000,90.000000,top
"R3","10K","R_0402_1005Metric",224.710000,-93.400000,90.000000,top
"R4","10K","R_0402_1005Metric",226.700000,-93.400000,90.000000,top
"R5","10K","R_0402_1005Metric",228.690000,-93.400000,90.000000,top
"R6","1K","R_0402_1005Metric",197.800000,-105.400000,180.000000,top
"R7","2k","R_0402_1005Metric",191.637500,-105.350000,180.000000,top
"R8","10K","R_0402_1005Metric",193.700000,-93.300000,180.000000,top
"R9","27","R_0402_1005Metric",213.000000,-91.600000,-90.000000,top
"R10","27","R_0402_1005Metric",214.000000,-91.600000,-90.000000,top
"R11","10K","R_0402_1005Metric",215.300000,-103.100000,180.000000,top
"R12","1K","R_0402_1005Metric",208.000000,-89.200000,180.000000,top
"R13","10K","R_0402_1005Metric",210.000000,-89.200000,180.000000,top
"R14","1K","R_0402_1005Metric",214.700000,-105.050000,0.000000,top
"R15","2.2","R_0402_1005Metric",208.700000,-123.570000,0.000000,top
"SD-CARD1","~","TF-SMD_TF-015",225.385500,-79.255000,0.000000,top
"SW1","~","SW-SMD_EVQPUD02K-1",192.259675,-70.100000,180.000000,top
"SW2","~","SW-SMD_EVQPUD02K-1",192.309675,-85.000000,180.000000,top
"SW3","~","SW-SMD_EVQPUD02K-1",192.300000,-77.750000,180.000000,top
"TM-2011A1","Multi-Directional Switch","SW-SMD_TM-2011",197.287582,-56.809808,-135.000000,top
"U1","MCP73831-2-OT","SOT-23-5",194.700000,-104.400000,180.000000,top
"U2","MCP1700x-300xxTT","SOT-23",199.500000,-93.900000,90.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",212.300000,-97.630000,0.000000,top
"U4","W25Q16JVZPIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",209.075000,-91.150000,0.000000,top
"U5","~","FPC-SMD_24P-P0.50_YUANDI_FPC-0.5FX-24PH20",212.300000,-128.950000,0.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",211.600000,-106.450000,180.000000,top
