Id;Designator;Footprint;Quantity;Comment;Supplier and ref
1;U4;SOT-23-5;1;MCP73831-2-OT;
2;Q1;SOT-23;1;AO3401A;
3;C13,C22,C26,C23,C14,C25,C31,C10,C30,C21,C27,C1,C24;C_0402_1005Metric;13;1uF;
4;L1;L_6.3x6.3_H3;1;47uH;
5;R4,R3;R_0402_1005Metric;2;27;
6;U3;Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm;1;W25Q16JVZPIQ TR;
7;U2;SOT-23;1;MCP1700x-300xxTT;
8;R5,R8,R6;R_0402_1005Metric;3;1K;
9;C11,C4,C6,C12,C3,C19,C8,C5,C7,C2;C_0402_1005Metric;10;0.1uF;
10;SW2;SW_SPST_TS-1088-xR020;1;RST;
11;D1;C_0402_1005Metric;1;LED;
12;R2,R1;R_0402_1005Metric;2;5.1K;
13;R12,R15,R7,R14,R11,R10,R13,R17;R_0402_1005Metric;8;10K;
14;J5;JST_EH_S2B-EH_1x02_P2.50mm_Horizontal;1;Battery;
15;C28,C17,C29,C18;C_0402_1005Metric;4;4.7uF;
16;J1;USB_C_Receptacle_HRO_TYPE-C-31-M-12;1;USB_C_Receptacle_USB2.0_14P;
17;D6,D3,D5,D4;D_0402_1005Metric;4;MBR0530;
18;SW4;KEY-SMD_4P-L4.7-W3.5_EVQ9P;1;SW_MEC_5E;
19;R9;R_0402_1005Metric;1;2k;
20;C16,C15;C_0402_1005Metric;2;33pF;
21;TM-2011A1;SW-SMD_TM-2011;1;Multi-Directional Switch;
22;SW1;SW_SPST_TS-1088-xR020;1;BOOTSEL;
23;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm;1;12 MHz;
24;FPC24PIN_0.5mm1;Amphenol_F32Q-1A7x1-11024_1x24-1MP_P0.5mm_Horizontal;1;E-Ink_Disp;
25;U1;QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm;1;RP2040;
26;R23;R_0402_1005Metric;1;2.2;
27;C20;C_0603_1608Metric;1;10uF;
28;J6;microSD_HC_Hirose_DM3D-SF;1;Micro_SD_Card;
29;Q3;SOT-323_SC-70;1;Si1308EDL;
