Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C20, C21",0402,4,4.7uF,
"C10, C22, C23, C24, C25, C26, C27, C28, C29, C30, C4, C6, C7",0402,13,1uF,
"C11, C12, C15, C16, C17, C18, C19, C5, C8, C9",0402,10,0.1uF,
"C13, C14",0402,2,33pF,
C3,0603,1,10uF,
CN1,CONN-SMD_2P-P2.00_PH2.0-SPWB,1,Battery,
D1,0402,1,LED,
"D2, D3, D4, D5",0402,4,MBR0530,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,L_6.3x6.3_H3,1,47uH,
Q1,SOT-23,1,AO3401A,
Q2,SOT-323_SC-70,1,Si1308EDL,
"R1, R2",0402,2,5.1K,
"R10, R9",0402,2,27,
"R11, R13, R3, R4, R5, R8",0402,6,10K,
"R12, R14, R6",0402,3,1K,
R15,0402,1,2.2,
R7,0402,1,2k,
SD-CARD1,TF-SMD_TF-015,1,~,
"SW1, SW2, SW3",SW-SMD_EVQPUD02K-1,3,~,
TM-2011A1,SW-SMD_TM-2011,1,Multi-Directional Switch,
U1,SOT-23-5,1,MCP73831-2-OT,
U2,SOT-23,1,MCP1700x-300xxTT,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,
U5,FPC-SMD_24P-P0.50_YUANDI_FPC-0.5FX-24PH20,1,~,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
