Designator,Mid X,Mid Y,Rotation,Layer
C1,191.6,-103.4,180.0,top
C10,216.2,-91.8,90.0,top
C11,207.22,-95.0,180.0,top
C12,207.22,-98.6,180.0,top
C13,208.9,-107.45,90.0,top
C14,214.199999,-106.45,270.0,top
C15,212.9,-103.28,270.0,top
C16,218.38,-98.4,0.0,top
C17,217.48,-94.8,0.0,top
C18,212.8,-89.0,90.0,top
C19,216.3,-93.3,0.0,top
C2,197.5,-96.9,0.0,top
C20,207.5,-113.17,90.0,top
C21,217.12,-114.27,180.0,top
C22,220.7,-125.27,0.0,top
C23,213.4,-123.17,0.0,top
C24,213.9,-124.87,90.0,top
C25,214.9,-124.87,90.0,top
C26,215.9,-124.87,90.0,top
C27,216.9,-124.87,90.0,top
C28,218.3,-124.87,90.0,top
C29,208.5,-124.97,90.0,top
C3,216.7,-69.825,90.0,top
C30,219.3,-124.87,90.0,top
C4,198.4,-92.02,90.0,top
C5,216.8,-104.4,90.0,top
C6,215.2,-91.78,90.0,top
C7,202.1,-95.4,0.0,top
C8,213.9,-103.28,270.0,top
C9,211.8,-89.0,90.0,top
CN1,194.885034,-129.4,0.0,top
D1,198.3,-104.0,90.0,top
D2,200.0,-91.4,180.0,top
D3,218.3,-115.67,0.0,top
D4,218.315,-112.97,180.0,top
D5,220.3,-123.485,90.0,top
J1,212.3,-53.13,180.0,top
L1,211.8,-114.27,0.0,top
Q1,195.5,-95.7,180.0,top
Q2,208.1,-121.77,0.0,top
R1,214.2,-59.4,90.0,top
R10,214.0,-91.6,270.0,top
R11,215.3,-103.1,180.0,top
R12,208.0,-89.2,180.0,top
R13,210.0,-89.2,180.0,top
R14,214.7,-105.05,0.0,top
R15,208.7,-123.57,0.0,top
R2,210.5,-59.41,90.0,top
R3,224.71,-93.4,90.0,top
R4,226.7,-93.4,90.0,top
R5,228.69,-93.4,90.0,top
R6,197.8,-105.4,180.0,top
R7,191.6375,-105.35,180.0,top
R8,193.7,-93.3,180.0,top
R9,213.0,-91.6,270.0,top
SD-CARD1,225.403,-79.3265,0.0,top
SW1,192.259675,-70.1,180.0,top
SW2,192.309675,-85.0,180.0,top
SW3,192.3,-77.75,180.0,top
TM-2011A1,197.340615008589,-56.862841008588994,225.0,top
U1,194.7,-104.4,0.0,top
U2,199.5,-93.9,270.0,top
U3,212.3,-97.63,90.0,top
U4,209.075,-91.15,0.0,top
U5,212.3,-129.0,0.0,top
Y1,211.6,-106.45,180.0,top
